iter	Passed	Remaining
0	140	140058
1	142	71015
2	143	47832
3	145	36256
4	147	29368
5	150	24970
6	153	21774
7	155	19298
8	157	17371
9	160	15858
10	162	14627
11	164	13574
12	167	12690
13	169	11927
14	171	11240
15	173	10641
16	174	10100
17	176	9613
18	177	9170
19	178	8766
20	180	8394
21	181	8056
22	182	7742
23	183	7456
24	184	7205
25	186	6971
26	187	6738
27	188	6528
28	189	6330
29	189	6141
30	191	5971
31	191	5805
32	192	5651
33	193	5509
34	195	5379
35	196	5267
36	197	5149
37	199	5041
38	200	4932
39	201	4829
40	202	4729
41	203	4634
42	204	4541
43	205	4457
44	206	4373
45	207	4296
46	208	4224
47	209	4158
48	211	4096
49	212	4030
50	213	3965
51	213	3900
52	214	3838
53	216	3784
54	217	3729
55	217	3673
56	218	3622
57	220	3574
58	221	3534
59	222	3488
60	223	3443
61	224	3398
62	225	3354
63	226	3314
64	227	3274
65	228	3233
66	229	3195
67	229	3151
68	231	3122
69	232	3088
70	233	3054
71	234	3025
72	235	2996
73	236	2965
74	238	2936
75	239	2906
76	240	2877
77	241	2852
78	242	2826
79	243	2801
80	244	2775
81	245	2749
82	247	2731
83	248	2710
84	249	2684
85	250	2662
86	251	2635
87	252	2612
88	253	2590
89	253	2568
90	254	2547
91	256	2527
92	257	2506
93	257	2486
94	259	2467
95	260	2449
96	261	2435
97	262	2418
98	263	2399
99	264	2381
100	265	2362
101	266	2343
102	267	2327
103	268	2312
104	269	2295
105	270	2279
106	271	2264
107	272	2250
108	273	2237
109	274	2222
110	275	2208
111	276	2194
112	277	2180
113	278	2166
114	279	2152
115	280	2138
116	281	2126
117	282	2113
118	283	2098
119	284	2086
120	285	2075
121	287	2065
122	287	2050
123	288	2039
124	289	2028
125	290	2017
126	292	2008
127	292	1994
128	293	1982
129	294	1971
130	295	1960
131	296	1950
132	297	1941
133	299	1933
134	300	1923
135	301	1913
136	302	1903
137	303	1892
138	303	1882
139	305	1873
140	306	1864
141	306	1854
142	307	1844
143	308	1835
144	309	1826
145	310	1818
146	312	1810
147	312	1801
148	314	1793
149	315	1786
150	316	1777
151	317	1770
152	318	1761
153	319	1753
154	320	1745
155	321	1737
156	322	1729
157	323	1723
158	325	1719
159	326	1712
160	327	1706
161	328	1698
162	329	1691
163	330	1685
164	331	1678
165	332	1670
166	333	1662
167	334	1656
168	335	1649
169	336	1643
170	337	1638
171	339	1634
172	340	1627
173	341	1621
174	342	1614
175	343	1608
176	344	1601
177	345	1595
178	346	1588
179	347	1581
180	347	1573
181	349	1568
182	350	1562
183	351	1557
184	352	1552
185	353	1546
186	354	1540
187	355	1534
188	356	1528
189	357	1522
190	358	1516
191	359	1511
192	360	1506
193	361	1500
194	362	1497
195	363	1492
196	364	1486
197	365	1481
198	366	1475
199	367	1470
200	368	1465
201	369	1460
202	370	1454
203	371	1449
204	372	1445
205	373	1440
206	374	1436
207	376	1432
208	377	1428
209	378	1423
210	379	1419
211	380	1414
212	381	1409
213	382	1404
214	383	1400
215	384	1394
216	385	1390
217	386	1385
218	387	1383
219	389	1379
220	390	1375
221	391	1370
222	392	1366
223	393	1361
224	393	1357
225	394	1352
226	395	1348
227	396	1344
228	398	1340
229	399	1338
230	400	1334
231	401	1330
232	403	1326
233	404	1322
234	405	1318
235	405	1314
236	406	1310
237	407	1305
238	408	1301
239	409	1297
240	410	1294
241	412	1290
242	413	1287
243	414	1284
244	415	1280
245	416	1276
246	417	1272
247	418	1268
248	419	1264
249	420	1260
250	421	1257
251	422	1253
252	423	1249
253	424	1246
254	426	1244
255	427	1241
256	428	1237
257	429	1234
258	430	1230
259	431	1226
260	432	1223
261	433	1220
262	434	1216
263	435	1213
264	436	1209
265	437	1207
266	438	1204
267	439	1201
268	440	1197
269	441	1194
270	442	1191
271	443	1187
272	444	1184
273	445	1181
274	446	1177
275	447	1174
276	448	1171
277	450	1168
278	451	1167
279	452	1164
280	453	1161
281	455	1158
282	456	1155
283	456	1152
284	457	1148
285	458	1145
286	460	1143
287	461	1140
288	462	1138
289	464	1136
290	465	1133
291	466	1130
292	467	1127
293	468	1124
294	469	1122
295	470	1119
296	471	1116
297	472	1114
298	474	1111
299	475	1108
300	476	1106
301	477	1103
302	478	1100
303	479	1098
304	480	1095
305	481	1091
306	482	1088
307	483	1085
308	484	1083
309	485	1080
310	486	1078
311	488	1076
312	489	1073
313	490	1071
314	491	1068
315	492	1065
316	493	1062
317	494	1059
318	495	1057
319	496	1055
320	497	1052
321	498	1049
322	500	1049
323	501	1047
324	502	1044
325	503	1041
326	504	1038
327	505	1036
328	506	1033
329	507	1030
330	508	1027
331	509	1025
332	510	1023
333	512	1021
334	513	1018
335	514	1016
336	515	1013
337	516	1011
338	517	1008
339	518	1006
340	519	1004
341	520	1001
342	521	998
343	522	996
344	523	994
345	525	993
346	526	990
347	527	988
348	528	986
349	529	983
350	530	981
351	531	978
352	532	976
353	533	973
354	534	971
355	535	968
356	536	966
357	537	964
358	538	962
359	539	959
360	540	957
361	541	954
362	542	952
363	543	950
364	544	948
365	545	945
366	547	943
367	548	941
368	549	939
369	551	939
370	552	936
371	553	934
372	554	932
373	555	930
374	556	928
375	557	925
376	559	923
377	560	921
378	561	919
379	562	917
380	563	915
381	564	912
382	565	910
383	566	908
384	567	906
385	568	904
386	569	902
387	570	899
388	571	897
389	572	895
390	573	893
391	574	890
392	575	889
393	576	887
394	577	884
395	578	882
396	579	880
397	580	878
398	581	876
399	582	874
400	583	871
401	584	869
402	585	867
403	586	865
404	588	864
405	589	862
406	590	861
407	591	858
408	592	856
409	594	855
410	595	852
411	596	850
412	597	848
413	598	847
414	599	845
415	600	843
416	601	841
417	603	839
418	604	837
419	605	835
420	606	833
421	607	831
422	608	829
423	609	827
424	610	825
425	611	824
